"Código";"Descripción";"Proveedor";"Familia";"Curva de talles";"Categoría";"Clasificación";"Tipo"
"TDJ11633502";"JEAN CAPULETO T-ALTO LOOSE WIDE";"01";"02";"02";"01";"99";"10"
"TDJ11637708";"JEAN ABBEY T-ALTO OXFORD ELAST";"01";"02";"02";"01";"14";"10"
"TDJ11649236";"JEAN CREEK T-MEDIO OXFROD ELAST BOLS DELANTERO";"01";"02";"02";"01";"99";"08"
"TDJ11651705";"JEAN JAZMÍN T-ALTO LOOSE WIDE";"01";"02";"02";"01";"13";"10"
"TDJ11657570";"JEAN LORE T-MEDIO LOOSE";"01";"02";"02";"01";"13";"08"
"TDJ11677208";"JEAN FLAVOR T-ALTO LOOSE BOT WIDE REG BOLS LATERALES";"01";"02";"02";"01";"10";"10"
"TDJ11677604";"JEAN FLAVOR T-ALTO LOOSE BOT WIDE REG BOLS LATERALES";"01";"02";"02";"01";"10";"10"
"TDJ11679525";"JEAN STILL T-ALTO LOOSE BOT WIDE REG";"01";"02";"02";"01";"10";"10"
"TDJ11679601";"JEAN STILL T-ALTO LOOSE BOT WIDE REG";"01";"02";"02";"01";"10";"10"
"TDJ11679605";"JEAN STILL T-ALTO LOOSE BOT WIDE REG";"01";"02";"02";"01";"10";"10"
"TDJ11681505";"JEAN BRODY T-ALTO REG ELAST";"01";"02";"02";"01";"10";"10"
"TDJ11687525";"JEAN KIKA BOTA SLOUCHYT-MEDIO REG RIG";"01";"02";"02";"01";"10";"08"
"TDJ11687711";"JEAN KIKA BOTA SLOUCHYT-MEDIO REG RIG";"01";"02";"02";"01";"10";"08"
"TDJ11693568";"JEAN FLINN T-ALTO LOOSE  ELAST";"01";"02";"02";"01";"13";"10"
"TDJ11721920";"JEAN BECA T-ALTO LOOSE PACK";"01";"02";"02";"01";"13";"10"
"TDJ11747710";"JEAN SANDRO T-ALTO LOOSE PACK CARGO";"01";"02";"02";"01";"13";"10"
"TDJ11823206";"JEAN STONY T-ALTO LOOSE BOT WIDE";"01";"02";"02";"01";"10";"10"
"TDJ11823235";"JEAN STONY T-ALTO LOOSE BOT WIDE";"01";"02";"02";"01";"10";"10"
